UEPDCPBytesDL,UEPDCPBytesUL,UEPRBUsageDL,UEPRBUsageUL,S_RSRP,S_RSRQ,S_SINR,N1_RSRP,N1_RSRQ,N1_SINR,N2_RSRP,N2_RSRQ,N2_SINR,UEID,ServingCellID,N1,N2,MeasTimestampRF
300000,125000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12358,555003,555002,555004,2020-11-05 13:44:03.124550
300000,125000,25,10,-48,-3.4,25,-53,-6.4,20,-68,-9.4,17,12358,555003,555002,555004,2020-11-05 13:44:03.184550
300000,123000,25,10,-49,-3.5,23,-54,-6.5,18,-69,-9.5,15,12358,555003,555002,555004,2020-11-05 13:44:03.264550
280000,123000,25,10,-57,-4.3,23,-62,-7.3,18,-77,-10.3,15,12358,555003,555002,555004,2020-11-05 13:44:03.294550
300000,125000,25,10,-46,-3.2,25,-51,-6.2,20,-66,-9.2,17,12358,555003,555002,555004,2020-11-05 13:44:03.314550
280000,122000,25,10,-45,-3.1,25,-50,-6.1,20,-65,-9.1,17,12358,555003,555002,555004,2020-11-05 13:44:03.414550
280000,123000,25,10,-56,-4.2,23,-61,-7.2,18,-76,-10.2,15,12358,555003,555002,555004,2020-11-05 13:44:03.484550
280000,123000,25,10,-54,-4.0,23,-59,-7.0,18,-74,-10.0,15,12358,555003,555002,555004,2020-11-05 13:44:03.634550
300000,125000,25,10,-47,-3.3,25,-52,-6.3,20,-67,-9.3,17,12358,555003,555002,555004,2020-11-05 13:44:03.674550
280000,123000,25,10,-56,-4.2,23,-61,-7.2,18,-76,-10.2,15,12358,555003,555002,555004,2020-11-05 13:44:03.684550
280000,123000,25,10,-51,-3.7,23,-56,-6.7,18,-71,-9.7,15,12358,555003,555002,555004,2020-11-05 13:44:03.724550
280000,123000,25,10,-54,-4.0,23,-59,-7.0,18,-74,-10.0,15,12358,555003,555002,555004,2020-11-05 13:44:03.734550
290000,123000,25,10,-47,-3.3,25,-52,-6.3,20,-67,-9.3,17,12358,555003,555002,555004,2020-11-05 13:44:03.794550
290000,122000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12358,555003,555002,555004,2020-11-05 13:44:03.834550
280000,123000,25,10,-52,-3.8,23,-57,-6.8,18,-72,-9.8,15,12358,555003,555002,555004,2020-11-05 13:44:03.904550
280000,122000,25,10,-55,-4.1,23,-60,-7.1,18,-75,-10.1,15,12358,555003,555002,555004,2020-11-05 13:44:03.914550
300000,123000,25,10,-44,-3.0,24,-49,-6.0,19,-64,-9.0,16,12358,555003,555002,555004,2020-11-05 13:44:03.924550
280000,123000,25,10,-59,-4.5,23,-64,-7.5,18,-79,-10.5,15,12358,555003,555002,555004,2020-11-05 13:44:03.954550
280000,123000,25,10,-58,-4.4,23,-63,-7.4,18,-78,-10.4,15,12358,555003,555002,555004,2020-11-05 13:44:03.964550
